,Ag⁺,Au⁺,Au³⁺,Ba²⁺,Ca²⁺,Cd²⁺,Co²⁺,Cr³⁺,Cs⁺,Cu²⁺,Cu⁺,Fe³⁺,Fe²⁺,Hg²⁺,K⁺,Li⁺,Mg²⁺,Mn²⁺,Mn³⁺,Na⁺,Ni²⁺,Pb²⁺,Pd²⁺,Pt²⁺,Rb⁺,Re,Sr²⁺,Tl⁺,Zn²⁺,Eu²⁺,Eu³⁺,Gd,GD³⁺,Ho,La³⁺,Lu³⁺,Pr³⁺,Sm³⁺,Tb³⁺,Yb³⁺
representative,38,5,0,23,1434,220,85,1,11,168,22,112,58,31,413,9,1104,302,0,774,173,6,4,12,5,1,18,11,1350,1,1,2,1,2,8,3,2,11,1,1
non-representative,82,271,2,120,13991,2565,519,2,48,1193,45,965,1035,54,2703,18,4248,1625,12,4148,682,13,99,41,53,2,28,52,6128,1,2,6,1,4,20,3,2,16,22,2
